,comment,type,sentiment
1742,"ছেলেরা হয়তো বাস্তবতা কাছে পঁচিশে মরে যায়,কিন্তু একটা মেয়ের যখন আঠারো কিংবা তার ও আরো আগে মরে যায়কারিয়্যার,স্বপ্ন, বাস্তবতার কাছে হেরে যায়,",emotional,negative
1743,ai song ta amar pura jibonar sata joriya achha,opinion,positive
1744,এই জগতে কাউকে অতি মাত্রায় বিশ্বাস করে ঠকে গিয়ে তার করা অভিনয় হজম করে তার সাথে জীবন যাপন করা এটাও একটা মৃত মানুষের ছেয়ে কোন অংশে কম নয়,emotional,negative
1745,গানটা আবার লেখা হোক বয়স টা পঁচিশ না দিয়ে আঠারো দেওয়া হোক,Opinion,Neutral
1746,এই গানে তো বলা হলো কিছু মানুষ মরে যায় ২৫ সে আমি তো মরে গেছি ১৮ তে যখন আমি বিদেশ নামের জেল খানায় এসেছি,emotional,negative
1747,এই গানের৷ মাজে কি আছে জানি না গান টা শুনলে কেনো জানি চোখ দিয়ে পানি চলে আসে কমেন্ট করে গেলাম কেউ লাইক দিলে আবার একটু সুনবো,emotional,negative
1748,আমি তো ভাই মরে গেছি ১৬ তে পরিবারের জন্য এখনি বলে টাকা ইনকাম কর আর কতো বাপের টাকায় খাবি,emotional,negative
1749,"গানটা আবার লেখা হক ২৫ নয় ১৬ তে।ভাই আমি তো ১৬ তেই মরে গেছি, বাবা নামক বটবৃক্ষ টা যখন শখের বয়সে হাড়িয়েছি",emotional,negative
1750,আমিতো ১৫ মোরে গেছি,informative,neutral
1751,তার পরে মরে গিয়েও বহুকাল বাঁচে সে...,emotional,negative
1752,আমারো কিছু মানুষ,informative,neutral
1753,wow,emotional,neutral
1754,গান যখন শুনি তখন দেখি গানটার মতো আমার জিবন চলছে রেখে গেলাম যুক যুক দরে যদি এই কমেন্ট লাইক পড়ে আবার শুনে আসবো,emotional,positive
1755,১৯ শে,informative,neutral
1756,আমিও আছি। না থাকের মতো,emotional,negative
1757,ekon niye 18 bar sona hoye geche,opinion,neutral
1758,true amr boyos akn 25 are or our bortoman a jodi shudu nishas newai beche thaka hoye tahole beche aci,opinion,negative
1759,নিজের ভিতরের আমিকে কবে যেনো গলা টিপে মেরে ফেলেছি,emotional,negative
1760,"মানুষের জীবনটা অনেক কষ্টের ,এই ছোট্ট একটা জীবনে কত কষ্টই না পেয়েছি ,",emotional,negative
1761,reality of my life,emotional,neutral
1762,আমি মরে গেছি ২৩ এ,emotional,negative
1763,1 like &amp; abr asbo ছেলেরাই জানে শত হাসির পিছনের কান্নাকে,emotional,neutral
1764,শুধু পচিশ সাল নয় আমার জীবনের সেরা গান এটা আপাতত,opinion,positive
1765,"তবে কি এই ভাবেই কাটবে জীবন। না,নিশ্চয়ই আল্লাহ সর্বউত্তম পরিকল্পনা কারি।",emotional,positive
1766,thanks,informative,positive
1767,5:30 to 6:00,informative,neutral
1768,এত বাস্তব গান কি হয়,emotional,neutral
1769,আমার কমেন্ট ৫০ সালে এসেও দেখতে পাবো,opinion,neutral
1770,25 ashole 24,emotional,negative
1771,"মরার পরেও ৩ বছর বেচে আছি কারন আমার বয়স ২৮। আর আমার মনের মৃত্যু হয়ছে ২৫ এ শুধু শরির নিয়ে চলা ফেরা করছি, আর সবচেয়ে খারাপ যেটা হয় আমার সাথে সেটা হল বুকের ভিতর পাথর চাপা কষ্ট নিয়ে সবার সাথে হেসে কথা বলতে হয়। সবশেষে একটা কথা সবাই কে বলে যায়, বাস্তবতা বড়ই নিষ্ঠুর রে,আর জীবনটা বড়ই অদ্ভুদ",emotional,negative
1772,জীবন্ত লাশ,emotional,negative
1773,nice song,opinion,positive
1774,যাকে নিয়ে সপ্ন দেখতাম আজ প্রবাস থেকে শুনলাম সে উরে গেছে অন্য কারো সাথে।,emotional,negative
1775,"প্লিজ অনুরোধ করলাম,,কিছু মানুষ মরে যায় 25শে-এই লাইনটা কেটে কিছু মানুষ মরে যায় 21শে- এইখানে আনা হোক । কারণ বর্তমানে মানুষ 25 বছর নয় এখন মানুষ 21 শে-ই মরে যায় । আমি তু 21শে-ই মরে গেছি",opinion,negative
1776,২৫ এর পরে যারা তারাই লাইক দাও,informative,neutral
1777,"২৫ বছরে সবাই বড় একটা ছেকা খায়, সময় পাড় হয়ে যাচ্ছে নিজের লাইফের কোন গতি হচ্ছে না, পারিবারিক চাপ সব কিছু মিলেয়ে",emotional,negative
1778,"সত্যিই , কিছু মানুষ মরে যায় পঁচিশে",emotional,negative
1779,"কিছু মানুষ মরে যায়, মা মরার সাথেই।",emotional,negative
1780,কলিজায় গিয়ে লাগলো,emotional,neutral
1781,সত্যিই অসাধারণ। গানটার প্রেমে পড়ে গেলাম।,opinion,positive
1782,২৫ বছর পাড় করে এখন বহুকাল বাঁচতেছি,informative,positive
1783,"এই শহরে প্রচুর অভাব কারো শিক্ষার,কারো ভালোবাসার!কারো ভাতের,কারো মনুষ্যত্বের",emotional,negative
1784,সাইফ জোহান জানেন নাকি ২০২৫ সালের সেরা গানের গায়ক আপনি,informative,positive
1785,"ধন্যবাদ ভাই,,,,",emotional,positive
1786,আর যারা ২৫ এর আগেই মরে যায়?,emotional,negative
1787,"জীবন কি অদ্ভুত তাই না, ফ্যামিলি, নিজের ভবিষ্যৎ, নিজের স্বপ্ন, একটা সুন্দর দিনের অপেক্ষা, এইসব ভাবতে ভাবতেই শত শত নির্ঘুম রাত পেরিয়ে যায় কিন্তু একটা সুন্দর সকাল আর আসে না হয়তো জীবন এরকমই!",emotional,negative
1788,"ঠিক যে পর্যায়ে গেলে কারো কথা গায়ে লাগে না, কষ্ট লাগে না, রাগ হয় না, কোনো কিছু নিয়ে অভিযোগ হয় না, সে পর্যায়ে চলে এসেছি।",emotional,neutral
1789,ইনকাম করার পর আবারো কখনো বেকার হলে গানটার মর্মটা বুঝতে পারবেন,emotional,neutral
1790,"masterpiece bro,,,soooo relatable",emotional,positive
1791,যতবার লাইক পড়বে ততবারই শুনতে আসবো 0:19,informative,positive
1792,হারানো কাল,emotional,negative
1793,safi zohan thank you ato sundor gan uphar dawar jonno keu like diye abar gan ta sunar sujok kore diyen,emotional,positive
1794,emon gan kokhono shuni nai aj prthom shunlam onek beshi valo laglo bastob mukhi gan eita,opinion,positive
1795,"এত ভালো লাগছে, যদিও আমার তেমন কোনো কষ্ট নাই। তা ও কান্না পাইতেছিল।",emotional,positive
1796,etar mane sudu tarai bujbe jara jindda las....beche giyeo more jay....,emotional,negative
1797,২০ থেকেই জিবন থেমে গেছে বাবা মারা যাওয়ার পর। ২০ বেদনা দিয়ে ২১ এ এক নারিকে ভালোবেসে ২৪ জিবনে আরেক বার হোচট খেয়ে এখন আমি আমার জিবনের হিসাব মেলাইতে পারতাছি না।,emotional,negative
1798,"ami 19 a more gci,,,dhorjjo niye beche aci,,nijer sokh,isse vishorjon diye dici",emotional,negative
1799,কিছু মানুষ মরে যায়... ২৫ এই.. 2:19 2:21 2:37 2:42 2:43 2:44 2:45 2:45 2:47,emotional,negative
1800,আহ্ হা,emotional,neutral
1801,2025 sriti rakhe gelam,informative,neutral
1802,আমার জিবনের সাথে গান টার মিল ১০০,opinion,positive
1803,অসম্ভব সুন্দর গানশৈশবের স্বপ্নগুলো লিখে রেখেছিলাম ড্রইং খাতায়,emotional,positive
1804,"এই গানের সুরে নিজেকে হারাই ফেলি কোন এক নীরবতায়।লাইক করে মনে করাই দিয়েন,চলে আসবো শুনার জন্য।",emotional,positive
1805,আমাদের মনের কথা গুলোই বলেছো ভাই গান এ,emotional,positive
1806,এই গান আর এই কমেন্ট যেনো আরেকটা দুনিয়া। যেখানে বাস্তবতা কতোটা ভয়ংকর সেটা ভালো করে বুঝা যায়। আমি এখনওও ২৫ এ পা রাখিনি কিন্তু ১৮ এ পা রেখেছি সপ্ন আছে মেডিকেল এ পড়ার কিন্তু এখনই নিজের অনেক সপ্ন অনেক কিছু হারাতে হয়েছে আর যখন ২৫ আসবে তখন হইতো আমাদের আর খুজেই পাওয়া যাবে না,emotional,negative
1807,jemon ami,emotional,neutral
1808,পরিবারের দায়িত্ব কাদে আসলে নিজের সপ্ন গুলো কেও কবর দিতে হয় এটাই চরম সত্য,opinion,negative
1809,আপনি ইি সেরা মনে থাকবে গানটা কত কিছু হারিয়ে গেছে এই ২৫ বছর বয়সে,emotional,negative
1810,বাস্তবতা খুব কঠিন,emotional,negative
1811,rescgg,informative,neutral
1812,অনেকদিন পর ফুটবল খেলতে গিয়ে দেখলাম ছোট থেকে যাদের সাথে খেলাধুলা করেছি তারা কেউ ছিল না সেখানে পরে আবার চলে আসলাম না খেলে পরে নিজেকে বুঝালাম আমার বয়স কত 25 বছর হয়ে গেছে আমি তো বড় হয়ে গেছি,emotional,negative
1813,কিছু মানুষ মরে যাই,emotional,negative
1814,"rang nahi, ehsaas hai jo is gaane ko khaas banata hai. kya lyrics hai bhai itna deep admi pgl ho jaye",emotional,positive
1815,"সেই মৃত্যুটা---শুধু ২৫শে মরে না,,বিভিন্ন বয়সে মরে যায়,,",opinion,neutral
1816,গান টা শুনেছি মন দিয়ে কিন্তু কখন যে চোখে পানি চলে আসছে খেয়াল করতে পারি নি আসলেই ২৫ শে মরে গেছি,emotional,negative
1817,hmmmmmm...................mehedi hasan........................adnan...............................a.....................................//////thank you,informative,neutral
1818,২৫ বছর বয়সে কমেন্ট করে গেলাম লাইক দিলে আবার শোনতে আসবো,informative,neutral
1819,বাস্তবিক গান,opinion,positive
1820,"সন্দেহ বড়ো খারাপ জিনিস, প্রমাণ দিতে দিতে একদিন হারিয়ে যায়",opinion,negative
1821,বেশিরভাগ সময়&#39;ই ছেলেরা মরে যায় ১৮ তে,opinion,negative
1822,"শৈশবের ইচ্ছে গুলো, ইচ্ছেই রয়ে গেল শুধু সৃতি নিয়ে আফসোস করা ছাড়া অন্য কোন উপায় দেখছি নাশৈশবের ইচ্ছে গুলো অনেক রঙ্গিন ছিল বটে কিন্তু বড়ো হয়ে দেখি সাদা কালো কিছু মানুষ ২৫ শের আগেও মরে",emotional,negative
1823,"পচিশে কেউ মরে না,তাদের মেরে ফেলা হয়",emotional,negative
1824,আয়নায় তাকিয়ে ভাবি অপরাধ কি আমার আমার কি দোষ? আহ কি চমৎকার লাইন এর উত্তর তারা কখনো দিতে পারবে না,emotional,negative
1825,গানটা অসম্ভব সুন্দর,opinion,positive
1826,ami toh more gechi 20 aaaa,emotional,neutral
1827,গানটা জীবনের হাতে মিলে গেলো জতবা লাইক পরবো ততোবার শুনতে আসবো,emotional,positive
1828,৫:৩০ লাইনটা সবচেয়ে বেশি হৃদয় স্পর্শ করে। লাস্ট ৭ দিনে 500 বার ++++ শুনলাম। অসাধারণ সুন্দর একটা গান। শুভাকামনা আপনার জন্য,opinion,positive
1829,"আমি singer হতে চাই। একটা music band খুলতে চাই, কিন্তু বাবা-মা আমাকে আমার স্বপ্ন পূরণ করতে দেয় না। ওরা বলেছিল ssc-এর পর আমি music বানাতে পারব, কিন্তু কোথায় হতে দিল। সবচেয়ে কাছের কষ্ট বোঝে না আমি ফ, ড়, ঢ়, ঁ এগুলোর স্পষ্ট উচ্চারণ পারি, স ও শ উচ্চারণেও পার্থক্য করতে পারি, indian বাঙালিদের মত। কিন্তু এতকিছু জেনে কী-ই বা হল।",emotional,negative
1830,25 but mori nai ekhono,emotional,negative
1831,প্রতিটা লাইনে নিজেকে খুঁজে পেয়েছি। অনেক ধন্যবাদ গানের মাঝে আমাদের অনুভূতিটা জাগিয়ে তুলার জন্যে।,emotional,positive
1832,♪ গানটা শুনলে মনে একটা স্বস্তি কাজ করে।।,emotional,positive
1833,"জীবন্ত লাশ আমি,, পঁচিশে আগে যদি মরে যাইতাম,, আমি আসলে তার দেখা পাইতাম না,, কিন্তু ক্যাপশন লিখতে গেলে চোখে পানি ধরে রাখতে পারি না,,",emotional,negative
1834,এই গান টা আমার মতো কিছু মানুষের জন্য যারা জীবনের এই ২৫ বছর বয়সে এসে জীবনে অনেক প্রেসার নিয়ে বেচে আছে ! যারা মরে গিয়েও বেচে আছি শুধুমাত্র মা বাবা জন্য তাদের দেখে রাখতে হবে ! আসলে বাস্তবতা খুবই কঠিন ! ভিতরের অনেক কাহিনী বলিনি শুধু মাত্র সংক্ষেপে বললাম যারা বুঝার ঠিকই বুঝবে !,emotional,negative
1835,২৫ এ না মরলে পস্তাতে হবে ৬৫ তে,opinion,negative
1836,আসলেই তো!,emotional,positive
1837,আমি ২১ বছরে মরে গেছি,emotional,negative
1838,amr jiboner sathe mile glo,emotional,positive
1839,এটাই জীবন্ত লাসের কথা,emotional,positive
1840,"আমার মত এটা একটা গান না,,, সুস্থ মস্তিষ্কের ছেলেদের জীবন্ত কাহিনী,,,",opinion,positive
1841,ami morlam 21 e,informative,neutral
1842,osadharon lekhoni. porer gan gulor jonno oppekhai roilam,emotional,negative
1843,ami amr 19 bosor a mara giyechi,informative,neutral
1844,25 কে কে শুনতেছেন,question,neutral
1845,1.09,informative,neutral
1846,"যৌবনের কালের বীর্য প্রবাসে এসে ধৈর্য, ধরতে পারলেই আপনি আসল পুরুষ।",opinion,positive
1847,আমি তো সেই ২২ শে লাশ হয়েছি,emotional,negative
1848,হায়রে ২৫ অনেক কিছু দেখাবেন এই ২৫ শে গান টা শুনে নতুন একটা অধ্যয় শুরু হলো জীবনে.. কেউ সরণ করলে আবার আসবো,emotional,positive
1849,"জীবন আমাদের জন্য এমনি কারণ আমরা মধ্যবিত্ত পরিবারের সন্তানচলছে জীবন, জীবনের ইচ্ছে মতন একদিন পরিবার এর ভরশা হতেই হবে, নিজের চোখের সামনে বাবার চুল দাড়ি পেকে যাচ্ছে, এক সময় বাবা-মা থাকবে না, ভাবলেই গাশে কাটা দিয়ে উটে আমাদের মতন ছেলে মানুষ এর জীবন এমনেই কাটে যায়, এক সময় মৃত্যু এসে দরজায় কড়া নারে, আর জীবনের ডেউটি শেষ হয় যায়, তারপর পিছুটান সমাপ্ত, সমাপ্ত জীবনের গল্প",emotional,negative
1850,boyos barse daitto bartase nijer pochondo bad dite hoitase biroktto kor kaj gula apon kore nite hosse valo lage na tar poreo korte hosse chuker samne prio jinis ak ak kore harasse otso ami nirob sara kisu korte partasi na bertto a jibon,emotional,negative
1851,যারা বলছো গানটা আবার লেখা হোক! বয়সটা ২৫ না-হয়ে ১৮ তে আনা হোক! তাদের বলছি ভাই তোমাদের এখনো ২৫ দেখা বাকি!!,opinion,negative
1852,আমি না হয় ত্রিশেই মরলাম।।,emotional,negative
1853,বাস্তবতার সাথে সম্পূর্ণ মিলে গেছে।,opinion,positive
1854,কিছু মানুষ মরে যায় পঁচিশে। আমি যদি পঁচিশ বছর বাচতাম রে,emotional,negative
1855,life goes on,informative,neutral
1856,বাস্তবতা,informative,neutral
1857,"সময়টা যেন কিছুতেই পিছু ছাড়ে না। কয়েকটা বছর ধরে বিষণ্নতার ছায়া গায়ে মেখেই চলেছি। তবু মনের ভেতর এক টুকরো আলো বাঁচিয়ে রাখি — হয়তো একদিন, এই অন্ধকারও হার মানবে।&quot;",emotional,negative
1858,যাচ্ছি ডুবে ডুবে,emotional,negative
1859,25 শে না 18তে,informative,neutral
1860,সব দিক থেকে শুন্য,opinion,negative
1861,"খুব কম গান আছে যেখানে ছেলেদের স্ট্রাগল তুলে ধরে হয়েছে, এই গানটার সাথে এজন্যই সব ছেলেরা রিলেট করছে। আমাদের বাবা, ভাই, হাসবেন্ড সব ছেলেদের অনেক অনেক স্যাক্রিফাইস করতে হয়। সেটা মেয়েরাও করে কিন্তু ইসলামে মেয়েদের এতটা দায়িত্ব দেয়া হয়নি তাই আয় রোজগারের চিন্তায় ছেলেরা আগেই মরে যায়। কত স্বপ্ন চাপা দিয়ে দেয় তারা। তারা কেন জানি অতটা বুঝাতেও পারেনা। আল্লাহ সবাইকে ভাল রাখুক",opinion,negative
1862,"এই গান টার যত‌ই প্রশংসা করি ততোই কম হবে , তাই সেই কথায় নাহয় না-ই গেলাম ।গান টার সবথেকে বড় যেই জিনিসটা আমার কাছে ভালো লেগেছে তা হলো , গান টা শোনার সময় ২০২৫ এ জীবনে ঘটে যাওয়া সব স্মৃতি মনে তোলপাড় শুরু করে।",emotional,positive
1863,বাস্তব মুখী একটা গান।গানটা জীবনের সত্যটা তুলে ধরেছে ধন্যবাদ সাইফ ভাই ভালোবাসা রইলbro,opinion,positive
1864,গানটা প্রতিদিন ৩ থেকে 7 বার শুনি তার পরে ও মন চায় আর একবার শুনতে। গানের মধ্যে এমন কিছু আছে যা আমাকে বার বার মনে করিয়ে দেয় যে বাস্তবতার এই পরিবেশ কত কিছু কেড়ে নিয়েছে।।,opinion,positive
1865,.......,,
1866,কিছু মানুষ মরে যায় ২৫শে,informative,neutral
1867,"আমি তো ২৫ এর আগে মরেছি,, এই গানটাই সেই না বলা প্রতিটা মুহূর্ত অনুভূতি সময় পরিস্থিতি কথা গুলা মনে করিয়ে দেয়। এই গানে হাজারো জীবন্ত মৃত মানুষের না বলা আর্তনাদ এর কথা গুলা প্রকাশ পায়। যা তারা কখনো কাউকে বলতে পারে নাই বুঝাইতে পারে নাই,,তারা এই গানটা শুনে একটু হলেও শান্তি পায়।ধন্যবাদ আপনাকে,, এতো সুন্দর গান উপহার দেওয়ার জন্য..!সাথে অনেক অনেক ভালোবাসা আর শুভকামনা রইল আপনার আগামী দিন গুলোর জন্য..।",emotional,positive
1868,"মরেছি সেই ১৭ বছরে, ঘর তো আর ফেরা হলোনা",emotional,negative
1869,ami 23 more geci,informative,neutral
1870,ভালোবাসা অবিরাম,emotional,positive
1871,"আমি তো সেই কোন ছোটোবেলায় সকলের অবহেলায়, অযত্নে , বন্ধুত্ত্ব হীনতায় ,একাকীত্বের যন্ত্রনা সইতে সইতে রোজ মরি তবুও নিজেকে টেনেটুনে চালিয়ে নিয়ে যদি বাঁচতে পারি । কোথায় আর বাঁচা হলো , বাঁচতে গিয়ে আরো বেশি করে মরে যাই । আমার জীবনের সাথে গানটি হুবহু মিলে গেছে । তাই যতবার লাইক পড়বে ততবার শুনতে আসবো ,হয়তো একদিন এই গান শুনতে শুনতে মরতে মরতে বেঁচেই গেলাম ।",emotional,negative
1872,"সব কিছু আছে আমার,, তারপর ও মনে হয় কিছুর অভাব আছে,, তারপর ভেবে দেখলাম আমার তো কেরিয়ার নাই যতই বাবার টাকা থাকুক বাট, একটা ছেলের কেরিয়ার না থাকলে তার মূল্য নাই,,",emotional,negative
1873,"ঈশ্বর সব দিয়েছেন, কিন্তু তোমায় দিলে মনটা মরতো না",emotional,negative
1874,গান টা দরকার ছিল ২০ বয়সে নিয়ে ছেলে মানুষ ২০ বছর বয়সে পরিবার জন্য নিজে সপ্ন৷ মারে তাকে মরে যাওয়া বলে,emotional,negative
1875,১৭তেই শেষ,informative,neutral
1876,ajkei prothom shunlam and it&#39;s my 7th time to listen in loop,emotional,positive
1877,"সেই ১৭তে বাড়ি ছেড়েছিলাম। নিজের সখ, আশা আকাঙ্খা, স্বাধীনতা, বাক স্বাধীনতা সব বিলীন করে দিয়েছি। নিজের বলতে আমিই আছি। সেই ১৭ তে বাড়ি ছেড়েছিলাম । সীমান্তের অতন্দ্র প্রহরী",emotional,negative
1878,writers like me,informative,neutral
1879,সেরা,informative,neutral
1880,ভাই আমার জীবনের সাথে মিলে গেছে গান টা,emotional,positive
1881,"চাকরিতে প্রবেশের পর পরই পরিবারের দায়িত্ব পড়ে যায়, এরপরেই আর নিজের গন্তব্য কোথায় হারিয়ে গেছে,,আর খোঁজে পাইনি,, এখন শুধু বাবা মায়ের জন্য বেঁচে আছি,, ভিতরটা মরে গেছে অনেক আগেই,,গানটা মনে হয় আমার জীবন",emotional,negative
1882,আমার কাছে জীবনের শেরা গান,opinion,positive
1883,অদ্ভুত,emotional,neutral
1884,সবাই বলে যে গানটা বদলে পঁচিশ এর বদলে আঠারো দেয়া হোক হায়রে পোলাপাইন আঠারোতে তুমি মরেছো নিজের ইচ্ছায় আর পঁচিশ তোমাকে সমাজ মেরে ফেলবে,emotional,negative
1885,1:12 আমি তো ২৩ এ মরে গেছি,emotional,negative
1886,58,informative,neutral
1887,just 26 now.,informative,neutral
1888,কেন পৃথিবীতে আসতে হলো ? ২৫ টা বছরের জন্য তো না পাঠায় দিলেও পারত,Question,Negative
1889,b praak er bangla version. but too good. unique voice and lyrics just incredible.,opinion,positive
1890,evabei colce jibon line ti sune aslam gantisunte. kub sundor hoase.,emotional,positive
1891,কিছু গান কখনো মরে না অনন্তকাল থেকে যায়,emotional,positive
1892,২৩ মরে গেছি,emotional,negative
1893,আমি গান সুনে কন্না করছি,emotional,positive
1894,আমার জানামতে এখানে পচিশে বলতে বুঝিয়েছেন ১৯৭১ সালের ২৫ শে মার্চের কথা। তারা সেই কাল রাতে মারা গেছে কিন্তু তাদের নাম এখনও রয়ে গেছে,informative,neutral
1895,you deserve 1 like,opinion,negative
1896,20 e oi taga las,,
1897,ami ei gan 1st shunlam sotti onek valo laglo.ahare shoishob,opinion,positive
1898,আমি তো ২৫ পর্যন্ত যেতে পারিনি ২২ এসেই মরে গেছি,emotional,negative
1899,সবার স্মৃতির সাথে জড়িয়ে আছে এই গানটি আসলেই কিছু মানুষ মরে যায় মরে যায় ২৫ শে,emotional,negative
1900,মনের সব আবেগ যা ভাবি ১২ টার পর এখানে আছে অনেক স্বপ্ন হারানোর কথা,emotional,negative
1901,কথা গুলো জীবনের সাথে মিলে যাই,opinion,positive
1902,অনেকটা আমার দুঃখের সাথে মিলে গেল আবার শুনতে আসবো হয়তো কোন একদিন,emotional,negative
1903,ভাই কি বানাইছেন এটা?,question,neutral
1904,জীবনমুখী,emotional,neutral
1905,"রেখে গেলাম স্মৃতি,,, যদি কখনো কেউ লাইক দেয় তবে নোটিফিকেশন পেয়ে এসে আবার শুনে যাব এই গানটা।",emotional,positive
1906,onek kico bolar ace. but kare boli karon amar boyos ooo toh 25,emotional,neutral
1907,যদি এই জগতে প্রেম ভালোবাসার ব্যর্থতা না থাকতো তাহলে এতো সুন্দর গান গুলো আমরা শুনতে পারতাম না,emotional,negative
1908,তবে কি? এভাবেই কাটবে জীবন?এ দেয়াল ভাঙবো কবে? 2:25,emotional,negative
1909,গানের ভাষায় মানুষ মরে পচিঁশে কিন্তু বাস্তবতায় মানুষ মরে ১৮ তে,emotional,negative
1910,25 na vhai 17 tei sesh hoye jacchi more jacchi,opinion,positive
1911,স্মৃতি রেখে গেলাম ২২-০৯-২০২৫,informative,neutral
1912,গান টা অদ্ভুদ সুন্দর। মৃত্যুর চেয়ে সুন্দর কিছু নেই তবু মানুষ মৃত্যুকে কতো ভয় পায়। তবে ২৫ যে আত্মার মৃত্যু হয় এর পর বেচে থাকা স্বপ্নের চেয়েও ভয়ংকর,emotional,neutral
1913,মানুষ শুধু প্রেমে মরে না মানুষ ২৫ মরে তার পরিবার এর দায়িত্ব নিতে গিয়ে। ২৫ এ কি আর আবেগ কাজ করে,emotional,negative
1914,২০ এই মরে গেছি,emotional,negative
1915,bhai pura kolizai lagee,opinion,negative
1916,"অনেক দিন গান শোনা হয় না, চিন্তা করছিলাম আর গান শুনবো না, তবে গানটি শুনে লোভ সামলাতে পারি নি...হৃদয় স্পর্শ করেছে.......৷",emotional,positive
1917,ধন্যবাদ ভাই সুন্দর একটা গান,opinion,positive
1918,life er sathe mile gasere,emotional,neutral
1919,notification er opekkhai thaklm bar bar sunbo,emotional,negative
1920,আমার জীবনের সাথে মিলে গেছে গানটা,emotional,positive
1921,মরে গেছি তো সেই কবে একজন&#39;কে ভালোবেসে? এখন শুধু দেহটা দাফন করা বাকি? আমি এমন একজন মানুষ যে নিজের রুহুটাকে মেরে ফেলছি? শুধু বাকি ছিল দেহ&#39;টার উপর অত্যাচার করা? কিন্তু এখন সিগারেটের ধোঁয়ার মাধ্যমে নিজের দেহ&#39;টাকে ও শেষ করে দিতেছি? আহ্ জীবন? আমার দেহ আর আমার রুহু কী আমাকে কখনো মাপ করবে?,emotional,negative
1922,অনেক সুন্দর গান টা আসলেই ভাই,opinion,positive
1923,"অভিনয় চলছে, চাপিয়ে মুখোস",opinion,positive
1924,"কিছু গান শুধু গানই না, অনেক বাস্তবতা নিয়ে আসে!",opinion,positive
1925,রিদয় চুয়ে যাওয়ার একটা গানএটা গান নয় এ যেন ব্যাস্তাবতাকণিকের জন্য হলে সব ওলটপালট করবে ৩০ ইয়ার পরের.....,opinion,negative
1926,"এই গল্পটা শুরু হবে সেই স্বপ্নটা থেকেই। রাতের নিস্তব্ধতা ভাঙল যখন তুমি আমার স্বপ্নে এলে। তোমাকে নিয়ে আমি স্বপ্ন দেখেছিলাম — তুমি যেন আলো, তুমি যেন ছোঁয়া। সেই স্বপ্নে তুমি হাসলে, আর চারপাশের ফুলগুলোও একসাথে হাসতে শুরু করল। তুমি অন্য কাউকে ভালোবাসো, এটা আমি জানি। কিন্তু আমার ভালোবাসা ছিল আকাশের মতো — দাবি নেই, আবদার নেই, শুধু তোমার সুখের কামনা। আমি স্বপ্নে তোমাকে বলেছিলাম, &quot;যদি কখনো তোমার মনের ভাটা নামে, বা ভুল ভালোবাসায় কষ্ট পাও — তবে এসো, আমি তোমাকে রানি করে রাখব।&quot; বাস্তবে যদি তুমি হারিয়ে যাও, আমি হবো তোমার পথপ্রদীপ। আমরা ছোট ছোট দিনের গল্প বানাবো— সকালে তোমার জন্য কফি, দুপুরে একটুখানি হাসি, রাতে নিশ্চিন্ত ঘুম। যদি কখনো তুমি ভেঙে পড়ো, আমি তোমার কান্না লুকাবো না। আমি তোমার ভাঙা অংশগুলো জোড়া লাগাবো ভালোবাসা দিয়ে। কারণ আমি জানি, ভালোবাসা মানে কেবল পাওয়া নয়— ভালোবাসা মানে প্রতিবার নতুন করে বিশ্বাস গড়ে তোলা। তুমি যদি ভুল ভালোবাসায় পড়ো আর নিজেকে তুচ্ছ মনে করো, আমি তোমাকে বলব, &quot;তুমি অমূল্য, তুমি অনন্য।&quot; আমি তোমার ছোট ছোট সাফল্যগুলো মনে রাখব— তোমার হাসি, তোমার সাহস, তোমার এক ফোঁটা চোখের জল। আমরা একসাথে তৈরি করব নতুন রীতি— প্রতিদিন সকালে এক চুমুক কফি, রাতে এক লাইনের ভালো কথা, আর মাঝে মাঝে বৃষ্টিতে ছাতা ছাড়া হাঁটা। যদি কখনো তোমার মনে হয়—&quot;আমি ভুল বুঝেছি&quot;— সেই উপলব্ধিই হবে আমাদের নতুন শুরু। ফিরে আসার সময় আমি শুধু তোমাকে একটি চেয়ার দেবো, কফির কাপটা গরম থাকবে, আর চোখে থাকবে অপেক্ষার নিঃশব্দ গান। ভালোবাসা কোনো কেরামতি নয়। এটা ধৈর্য, মিষ্টতা, আর আবার শুরু করার সাহস। তুমি যদি মনের ভাটায় হারিয়ে যাও, মনে রেখো— এই গল্পটা তোমার জন্য লেখা। তুমি ফিরে এলে আমি তোমাকে রানি করে রাখব। তবে সেই রানি শুধু আমার নয়— নিজের জীবনেরও রানি, নিজের সুখের অধিকারিণী। শেষে বলি, ভালোবাসা সত্য হলে গল্পের শেষ হয় না। এটা কেবল নতুন অধ্যায় শুরু করে। তুমি ফিরে এলে আমার পৃথিবী সম্পূর্ণ হবে। আর আমি অপেক্ষায় থাকব—কফির গন্ধে, স্বপ্নের আলোয়, তোমার জন্য সোনালি পথ সাজিয়ে রেখে।",emotional,positive
1927,just awesome...... means awesome,opinion,positive
1928,আমি ২৪ এ মরে গেছি,emotional,negative
1929,অসাধারণ প্রতিভাবান আপনি৷ একদম বাস্তবমুখি,emotional,positive
1930,bai os3r lage gan ta,emotional,negative
