clean_comment_v1,clean_comment_v2,sentiment,type
excellent d,excel,2,0
অসাধারণআমি আকাশ পাঠাবোতোমার মনের আকাশে,অসাধারণআমি আকাশ পাঠাবোতে মন আকাশে,2,0
so you dont have any idea about rafa even music as well bro so sorry for you,dont idea rafa even music well bro sorri,0,0
42 ta birol projatir shakhamrigo ei gaan dekheche ami sure,ta birol projatir shakhamrigo ei gaan dekhech ami sure,0,0
avoid rafa love from rajshahi,avoid rafa love rajshahi,2,0
its my life,life,1,0
ami akash pato pori 2mr moner,ami akash pato pori mr moner,1,0
কোন মাদারচুদেরা আন লাইক দিছে,মাদারচুদে আন লাইক দিছ,0,0
my fvt one,fvt one,2,0
kamne a to sundor lyrics hoi,kamn sundor lyric hoi,2,0
akash kyamne pathaba,akash kyamn pathaba,1,0
best song for me,best song,2,0
magic of,magic,1,0
ভাই আপনি মদ গাজা ভাং খাইয়া এরকম একটা গান গান please vai,ভাই মদ গাজা ভাং খাইয়া এক গান গান pleas vai,1,0
take it he just make fun nothing closely t shirtwhich one rafa,take make fun noth close shirtwhich one rafa,1,0
arefin rumi to 2nd wife keo divorce dilo,arefin rumi nd wife keo divorc dilo,0,0
wow what a nice song that is,wow nice song,2,0
awesome rafa,awesom rafa,2,0
onek shundor,onek shundor,2,0
rafa you are really awesome prottekta gaan tomar osomvob sundor hoy keep it up,rafa realli awesom prottekta gaan tomar osomvob sundor hoy keep,2,0
rafa you are really awesome prottekta gaan tomar osomvob sundor hoy keep it up,rafa realli awesom prottekta gaan tomar osomvob sundor hoy keep,2,0
awesome just speechless what a lyrics,awesom speechless lyric,2,0
awesome just speechless what a lyrics,awesom speechless lyric,2,0
lincoln vai tumi valo banite patricia,lincoln vai tumi valo banit patricia,2,0
kokhon j 5 min hoiya gelo bujhtei parlam na 1520 min length hoile vlo hoito,kokhon j min hoiya gelo bujhtei parlam na min length hoil vlo hoito,2,0
band artcell boss tader kono tulonah hoy biday sad version cover ta ektu shune dekben,band artcel boss tader kono tulonah hoy biday sad version cover ta ektu shune dekben,2,0
amar opar,amar opar,1,0
ভালবেসেছি,ভালবেসেছি,2,0
this is the another way to express their feelings about this songs,anoth way express feel song,2,0
artcell is the best,artcel best,2,0
k suncen ei 2018 te,k suncen ei te,1,0
omar faruk subho 2050 te o sona hobe ei gaan,omar faruk subho te sona hobe ei gaan,2,0
অসাধারণ লিরিক,অসাধারণ লিরিক,2,0
আমার অপার সীমানাতে তোমার চিহ্ন তবু রবে বেঁচে,অপ সীমানা চিহ্ন রবে বেঁচে,2,0
artcellbloodcell,artcellbloodcel,2,0
artcell is best,artcel best,2,0
artcell is artcell ar sobay k,artcel artcel ar sobay k,2,0
artcell is artcell ar sobay k,artcel artcel ar sobay k,1,0
rizwan ahmed kotha ki r komu amar pasheo ekta abal ghumay,rizwan ahm kotha ki r komu amar pasheo ekta abal ghumay,0,0
ahmed hossain যে চলে গেছে তাকে চলে যেতে দাও,ahm hossain দাও,1,0
vai vdo te je hudai ki lyrics dice,vai vdo te je hudai ki lyric dice,0,0
school life,school life,1,0
school life,school life,2,0
rewan ahmed rony হকজ,rewan ahm roni হকজ,0,0
rewan ahmed rony but minar o bhalo,rewan ahm roni minar bhalo,2,0
oi maiya,oi maiya,1,0
oi maiya,oi maiya,1,0
ভালোবাসার অপর,ভালোব অপর,1,0
mir rifat hindi gaaner voktonijer desher bandke ignore kore onno desher chamchami jonno ek dram shomobedona,mir rifat hindi gaaner voktonij desher bandk ignor kore onno desher chamchami jonno ek dram shomobedona,0,0
atrcell my favourite band music,atrcel favourit band music,2,0
artcelllove u,artcelllov u,2,0
k me we love artcell,k love artcel,2,0
love artcell too my favourite band,love artcel favourit band,2,0
সবাইকে কে অনেক ধন্যবাদ দেখুন শেয়ার করুন ঝুম আর সাবস্ক্রাইব করুন আমাদের অফিসিয়াল চ্যানেল,সবাইকে ধন্যবাদ দেখুন শেয় করুন ঝুম সাবস্ক্রাইব করুন অফিসিয়াল চ্যানেল,2,0
আপনাদের অনেক ধন্যবাদ এই রকম গান উপহার দেওয়ার মত,আপনা ধন্যবাদ গান উপহ,2,0
you can contact us through our facebook thank you,contact us facebook thank,1,0
ki bolan,ki bolan,1,0
who watching 2017 august,watch august,1,0
প্লিজ আমার চ্যানেল subscribe করুন,প্লিজ চ্যানেল subscrib করুন,1,0
kano kormo,kano kormo,1,0
gaanchill music,gaanchil music,1,0
ছেলেটা যখন চিরকুট পেলো আমাকে আর সাথে যতদূর সম্ভব তার দেয়া তখন সভাবতই তার মন তবে যখন বৃষ্টি আসলো তখন তাকে অনেক আনন্দিত মনে সে কিন্তু গানটা না যাকে বলি স্যাড ঘটনাও শুরুটাও তবুও সে এটা কি স্যাকা খাওয়ার পর তার দেয়া দামি চুরি ফেরত পাওয়ার খূশী এটা কি পরিচালকের মুর্খতার প্রমাণ নাকি অন্যকিছু,ছেলেটা চিরকুট পেলো সাথে যতদূর দেয়া সভাবত মন বৃষ্ আসলো আনন্দিত গান না বলি স্যাড ঘটনা শুরু তবু স্যাকা খাওয় দেয়া দামি চুরি ফেরত পাওয় খূশী পরিচালক মুর্খত প্রমাণ অন্যকিছু,0,0
really nice song i thought it was a hindi bangladesh aro valo kicu koruk sei kamona korce,realli nice song thought hindi bangladesh aro valo kicu koruk sei kamona korc,2,0
nice song,nice song,2,0
q3567iio,qiio,1,0
thanxxx,thanxxx,2,0
of course,cours,2,0
song ta josh video ta valo hoy ni,song ta josh video ta valo hoy ni,1,0
25 million is comming music channel 500000 lac subscribe is comming love this joom songs and enjoy all time gaanchill music channel all uploaded videos,million com music channel lac subscrib com love joom song enjoy time gaanchil music channel upload video,2,0
just woow,woow,2,0
love this,love,2,0
মিনার ফরেভার ঝুম গানটাও আমার ফরেভার,মিন ফরেভ ঝুম গান ফরেভ,2,0
amazing yr fan hogaya soooooooooooo gd,amaz yr fan hogaya soooooooooooo gd,2,0
nic song,nic song,2,0
disliker এই নাসর বান্দা গুলন কারা এতো ভালো গানটারে dishlike করছে,dislik নাসর বান্দা গুলন কার এত ভালো গানটারে dishlik,0,0
onk beautifull akta song i like it so much,onk beautiful akta song like much,2,0
117k likes and 23 view wow,k like view wow,2,0
very nice sonig n,nice sonig n,2,0
সত্যি খুব মিষ্টি গান আর ভিডিও টা খুব সুন্দরবাংলাদেশ আজ অনেক ভাল প্রোডাক্সন করছে আমি ভারতে থাকলেও বাংলাদেশি গান খুব শুনি,সত্যি মিষ্ গান ভিডি সুন্দরবাংলাদেশ প্রোডাক্সন ভার থাকলে বাংলাদেশি গান শুনি,2,0
ohh boss,ohh boss,2,0
im from kashmir n i dont understand bangla but music n voice is really fantastic,im kashmir n dont understand bangla music n voic realli fantast,2,0
i like this song,like song,2,0
মিনার লাভ,মিন লাভ,2,0
অসাধারণ গান ভিডিওটা আরো ভাল হতে পারত তবে গানটা ফাটাফাটি নতুন ফ্লেভার পেলাম,অসাধারণ গান ভিডিও আরো পারত গান ফাটাফা ফ্লেভ পেল,2,0
o my god,god,2,0
it is more sweet and creepy than despacito and shape of you are boss,sweet creepi despacito shape boss,2,0
great music video,great music video,2,0
love this song from my heart,love song heart,2,0
২৩ মিলিয়ন,মিলিয়ন,1,0
from pakistan,pakistan,1,0
2018 k aso,k aso,2,0
23 million view bangladeshi directors should realize what kind of music music video movie we bangladeshi young generation like to watch hero alom shakib khan n zayed khans cheap shit,million view bangladeshi director realiz kind music music video movi bangladeshi young gener like watch hero alom shakib khan n zay khan cheap shit,2,0
wow awesome,wow awesom,2,0
nice song boss asif via,nice song boss asif via,2,0
boss minar,boss minar,2,0
boss minar,boss minar,2,0
love love this song,love love song,2,0
আমার ভালো লাগে,ভালো লাগে,2,0
ভালো লাগার গান,ভালো লাগা গান,2,0
height likes ever114k this song in bangladesh just love it mindblowing,height like everk song bangladesh love mindblow,2,0
height likes ever114k this song in bangladesh just love it mindblowing,height like everk song bangladesh love mindblow,2,0
height likes ever114k this song in bangladesh just love it mindblowing,height like everk song bangladesh love mindblow,2,0
minar for love you,minar love,2,0
minar for love you,minar love,2,0
like this song,like song,2,0
মনটা ভালো হয়ে গেলো গানটা শোনে,মন ভালো গেলো গান শোনে,2,0
minar is the a bd singer,minar bd singer,1,0
i love this song is my favurit song,love song favurit song,2,0
thanks for your comment subscribe to our youtube channel for more upcoming releases please share it if you like it,thank comment subscrib youtub channel upcom releas pleas share like,2,0
bai song ta porai ostir,bai song ta porai ostir,2,0
ভাল লাগার গান,লাগা গান,2,0
22 m shei,shei,2,0
hi dos tora naic sog,hi do tora naic sog,2,0
awesome i like it,awesom like,2,0
awesome i like it,awesom like,2,0
২০১৮কে কে শুনছেন,কে শুনছ,1,0
bangla best song ever,bangla best song ever,2,0
aro amazing,aro amaz,2,0
onek onek vallagce ganta,onek onek vallagc ganta,2,0
osadharon akti gan,osadharon akti gan,2,0
shopper song,shopper song,2,0
hot video,hot video,2,0
asole osadharon,asol osadharon,2,0
osadaron akta gan,osadaron akta gan,2,0
who is still listening in 2018,still listen,2,0
toptentech আমি,toptentech,1,0
velobasha ak akmohuto,velobasha ak akmohuto,2,0
still loved never gonna forget it,still love never gonna forget,2,0
gan ta sudhu opurbo bolle onek kom bola with respect for the whole team,gan ta sudhu opurbo boll onek kom bola respect whole team,2,0
gan ta sudhu opurbo bolle onek kom bola with respect for the whole team,gan ta sudhu opurbo boll onek kom bola respect whole team,2,0
23milion is,milion,1,0
23m 120k likes comeing soon inshaallah,m k like come soon inshaallah,2,0
still my fav song,still fav song,2,0
still my fav song,still fav song,2,0
miner vai are you great,miner vai great,2,0
onno rokom akta,onno rokom akta,2,0
22m views111k likeswhy unlike,m viewsk likeswhi unlik,0,0
good luck,good luck,2,0
ঝুম আমার ভালবাসা আমার সবকিছু আমি তোমাকে ভালবাসি,ঝুম ভালবাসা সবকিছু তোমাকে ভালবাসি,2,0
shei sondor,shei sondor,2,0
shei sondor,shei sondor,2,0
love from একবার tollywood এর জন্যেও গান গাইলে ভালো,love tollywood জন্যে গান গাইলে ভালো,2,0
anyones here in 2018,anyon,1,0
সত্যিই অসাম একটা গানইনফেক্ট মিনারের সব গানই ভাল লাগে,অসাম এক গানইনফেক্ট মিনার গান লাগে,2,0
মিনার সত্যি খুব অসাধারণ একজন শিল্পি তার এক্সপ্রেশন প্রত্তেক টা গানে খুব দারুন আসে,মিন সত্যি অসাধারণ একজন শিল্পি এক্সপ্রেশন প্রত্তেক গানে দারুন,2,0
who is watching 2018,watch,1,0
who is watching 2018,watch,1,0
tare khuji,tare khuji,1,0
tare khuji,tare khuji,1,0
amr khub e vlo lage ei gaan ta shunte,amr khub e vlo lage ei gaan ta shunt,2,0
the most amazing bangla song i go into a zone when ever i here this song soooooo perfect,amaz bangla song go zone ever song soooooo perfect,2,0
the most amazing bangla song i go into a zone when ever i here this song soooooo perfect,amaz bangla song go zone ever song soooooo perfect,2,0
awesome song like favorites song,awesom song like favorit song,2,0
পতি দিন এক বার করে শুনি গানটা,পতি শুনি গান,2,0
awesome song,awesom song,2,0
gaanchill music,gaanchil music,2,0
এই গানটা শুনার পর কেন জানিনা মন টা ভালো হয়ে যায় ossum song love u minar,গান শুন জানিনা মন ভালো যায় ossum song love u minar,2,0
এই গানটা শুনার পর কেন জানিনা মন টা ভালো হয়ে যায় ossum song love u minar,গান শুন জানিনা মন ভালো যায় ossum song love u minar,2,0
oooooo oooooo awesome song minar bro,oooooo oooooo awesom song minar bro,2,0
my most most favourite,favourit,2,0
just touch the heart minar,touch heart minar,2,0
minar is best singer,minar best singer,2,0
minar is best singer,minar best singer,2,0
awesome you my fav,awesom fav,2,0
nice song,nice song,2,0
ওরা কারা যারা এতো সুন্দর গানটাকে dislike করেছে অসাধারণ একটি গান love from india,কার এত সুন্দর গান dislik অসাধারণ গান love india,2,0
এখন আমি অন্য আমি হয়ে ছুটে চলি তোমারি শহরে,ছুটে চলি তোমারি শহরে,1,0
love this song thanks,love song thank,1,0
my song very nice,song nice,2,0
awesome song,awesom song,2,0
minar er voice tai loved it,minar er voic tai love,2,0
love nice one,love nice one,2,0
joom is best,joom best,2,0
farzana ratna kemne,farzana ratna kemn,1,0
22m 33,m,2,0
jhoom এর মত আরো গান চাই,jhoom আরো গান চাই,2,0
i destroyed the replay button,destroy replay button,0,0
এত ভালো লাগে শুনতে,ভালো লাগে শুন,2,0
এত ভালো লাগে শুনতে,ভালো লাগে শুন,2,0
i love this song it is my favorit ♡♡♡♡♡♡♡♡♡♡♡,love song favorit ♡♡♡♡♡♡♡♡♡♡♡,2,0
love miner,love miner,2,0
arfin shuvo by joioo,arfin shuvo joioo,2,0
gaanchill music ok,gaanchil music ok,1,0
সুন্দর একটা গান,সুন্দর এক গান,2,0
minarer sob ganoi,minar sob ganoi,1,0
minar ar ahare sobar dekha uchit,minar ar ahar sobar dekha uchit,2,0
minar ar ahare sobar dekha uchit,minar ar ahar sobar dekha uchit,2,0
minar ar ahare sobar dekha uchit,minar ar ahar sobar dekha uchit,2,0
wonderful,wonder,2,0
what a song love love love 100 kilo and also made in chittagong,song love love love kilo also made chittagong,2,0
who watch 2018,watch,1,0
sob thik kintu ki jano akta bathik but its,sob thik kintu ki jano akta bathik,1,0
ato valo lega miner rahman vai ar song,ato valo lega miner rahman vai ar song,2,0
love from nepal,love nepal,2,0
100 milion in 2019 music production is getting better day by day,milion music product get better day day,2,0
100 milion in 2019 music production is getting better day by day,milion music product get better day day,2,0
any one still,one still,1,0
you are amazing minar rahman,amaz minar rahman,2,0
outstanding song minar,outstand song minar,2,0
nice song and music vdo thanks minar for the song,nice song music vdo thank minar song,2,0
my fav song touched my heart,fav song touch heart,2,0
very nice minar bay,nice minar bay,2,0
21 million vew,million vew,1,0
onkk valo lage sonte ai songta,onkk valo lage sont ai songta,2,0
love from,love,1,0
এখন আমি অন্য আমি হয়ে ছুটে চলি তোমারই শহরে হারিয়ে চোখের যত ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ি ঘুরে তারেই খুজি আলো আধারির এ মায়ায় এই অবেলায় মন যে হারায় চেনা মেঘে ভচেনা কত পথ হঠাত কেনো থমকে দাঁড়ায় তোমার আমার ফেলে আসা যত রঙিন রঙিন স্মৃতি লুকিয়ে অবুঝ ঠিকানায় অচিনমনের অচিন কোন কোণে বন্দী আজও আমি ভুল সে পথের সীমানায় এখন আমি অন্য আমি হয়ে ছুটে চলি তোমারই শহরে হারিয়ে চোখের যত ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ি ঘুরে তারেই খুজি,ছুটে চলি তোম শহরে হারা চোখ ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ি ঘুরে তারে খুজি আলো আধারির মায়ায় অবেলায় মন হারায় চেনা মাঘ ভচেনা হঠাত কেনো থম দাঁড়ায় ফাল রঙিন রঙিন স্মৃতি লুকা অবুঝ ঠিকানায় অচিনমন অচিন কোণে বন্দী আজ ভুল পথ সীমানায় ছুটে চলি তোম শহরে হারা চোখ ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ি ঘুরে তারে খুজি,1,0
এখন আমি অন্য আমি হয়ে ছুটে চলি তোমারই শহরে হারিয়ে চোখের যত ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ি ঘুরে তারেই খুজি আলো আধারির এ মায়ায় এই অবেলায় মন যে হারায় চেনা মেঘে ভচেনা কত পথ হঠাত কেনো থমকে দাঁড়ায় তোমার আমার ফেলে আসা যত রঙিন রঙিন স্মৃতি লুকিয়ে অবুঝ ঠিকানায় অচিনমনের অচিন কোন কোণে বন্দী আজও আমি ভুল সে পথের সীমানায় এখন আমি অন্য আমি হয়ে ছুটে চলি তোমারই শহরে হারিয়ে চোখের যত ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মেঘে মেঘে ডানা মেলে ঝুম উড়ি ঘুরে তারেই খুজি,ছুটে চলি তোম শহরে হারা চোখ ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ি ঘুরে তারে খুজি আলো আধারির মায়ায় অবেলায় মন হারায় চেনা মাঘ ভচেনা হঠাত কেনো থম দাঁড়ায় ফাল রঙিন রঙিন স্মৃতি লুকা অবুঝ ঠিকানায় অচিনমন অচিন কোণে বন্দী আজ ভুল পথ সীমানায় ছুটে চলি তোম শহরে হারা চোখ ঘুম ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ে ঘুরে তারে ডাকি ঝুম উড়ে উড়ে দুরে দুরে ঝুম মাঘ মাঘ ডানা মাল ঝুম উড়ি ঘুরে তারে খুজি,2,0
loving from srilanka,love srilanka,2,0
ki bhalo gud,ki bhalo gud,0,0
ata amr dekha deser sob theke views ar,ata amr dekha deser sob theke view ar,2,0
just u very much minar,u much minar,2,0
খুব ভাল লাগল অনবদ্য গায়কী সুন্দর সুর কথা এবং মিউজিক ভিডিও টির সঠিক চিত্রায়নে দৃশ্য এবং শ্রুতি নন্দন হয়ে উঠেছে গানটি অভিনয় এ সবাই যথাযথ গায়কের প্রতি প্রত্যাশা বেড়ে গেল কলকাতা থেকে ভালবাসা সহ,লাগল অনবদ্য গায়কী সুন্দর সুর কথা মিউজিক ভিডি টির সঠিক চিত্রায়নে দৃশ্য শ্রুতি নন্দন উঠ গান অভিনয় যথাযথ গায়ক প্রত্যাশা বাড় কলকাতা ভালবাসা,2,0
lets jhoommmm in lovely rain,let jhoommmm love rain,2,0
অ সাধারন একটি গান যত সুনি ততো সুন্তে ভাল লাগে,অ সাধারন গান সুনি তত সুন্ লাগে,2,0
অ সাধারন একটি গান যত সুনি ততো সুন্তে ভাল লাগে,অ সাধারন গান সুনি তত সুন্ লাগে,2,0
amezing,amez,2,0
amezing,amez,2,0
amezing,amez,2,0
is a bangladeshi its a bangladeshi from bangladesh too,bangladeshi bangladeshi bangladesh,1,0
is a bangladeshi its a bangladeshi from bangladesh too,bangladeshi bangladeshi bangladesh,1,0
its ok u are from pakistan,ok u pakistan,1,0
love for moment this song i am apple khan minar rahman good singar good luck fuchar minar rahman,love moment song appl khan minar rahman good singar good luck fuchar minar rahman,2,0
opurbo tomer sob gan banladas ar sudhu tomer gan guloi amer basi vala laga,opurbo tomer sob gan banlada ar sudhu tomer gan guloi amer basi vala laga,2,0
opurbo tomer sob gan banladas ar sudhu tomer gan guloi amer basi vala laga,opurbo tomer sob gan banlada ar sudhu tomer gan guloi amer basi vala laga,2,0
jotil akta,jotil akta,2,0
abaar jigay,abaar jigay,0,0
wow what a song,wow song,2,0
বাংলা গানের সর্বচ্চ লাইকএবং সর্বচ্চ ভিউয়ার হয়তো আরো ২০ বছরেরও কোন গানে এতো ভিউয়ার হবে না লাভ ইউ ভাই,বাংলা গান সর্বচ্চ লাইকএবং সর্বচ্চ ভিউয় আরো বছর গানে এত ভিউয় না লাভ ইউ ভাই,2,0
welcome,welcom,2,0
অসাধারণ একটি গান love you মিনার,অসাধারণ গান love মিন,2,0
wow 20m what a legandary song always habibminarimran is,wow m legandari song alway habibminarimran,2,0
still 2018,still,2,0
very nice song,nice song,2,0
love this song,love song,2,0
thats great,that great,2,0
osm son,osm son,2,0
inam wazir do u understand the lyrics,inam wazir u understand lyric,1,0
love you any,love,2,0
welcome bengali song 2crore views,welcom bengali song crore view,2,0
awesome nothing to say,awesom noth say,2,0
best song,best song,2,0
দারুন মিউজিক,দারুন মিউজিক,2,0
wow nice song,wow nice song,2,0
wow nice song,wow nice song,2,0
i love u menar and i am ur fan also,love u menar ur fan also,2,0
nice song i love it,nice song love,2,0
101k like,k like,2,0
i love this song,love song,2,0
love you minar,love minar,2,0
love you minar,love minar,2,0
jhoom 20 million done,jhoom million done,2,0
my favourite one,favourit one,2,0
nic song,nic song,2,0
wow very nice song,wow nice song,2,0
daron,daron,2,0
20 million up minar bhai,million minar bhai,2,0
2nd bengali video to cross 100k after desbashito,nd bengali video cross k desbashito,2,0
২০১৮ কে কে শুনতাছেন,শুনতাছ,1,0
anyone in 2018,anyon,1,0
yeah,yeah,2,0
habiba rimi yeah,habiba rimi yeah,2,0
habiba rimi yeah,habiba rimi yeah,2,0
2016 te amar shuna shera gaan gulor ebong music ei duitar composition amar admission test er somoy cuet e jawar somoy train e ei gan ta onk bar awesome coz it makes me remember my remember all the beautiful memories with video taw oshadharon gan er sobceye emotional line ta hocchetomar amar fele asha joto rongin molin smritilukiye obuj thikanayochin mon er ochin kono kon e bondi ajo ami vule shei pother shimana coz whenever i listen thisi go back to my 1st relationship history in 2016 and everything appears before my eyes just like sweet this song too much,te amar shuna shera gaan gulor ebong music ei duitar composit amar admiss test er somoy cuet e jawar somoy train e ei gan ta onk bar awesom coz make rememb rememb beauti memori video taw oshadharon gan er sobcey emot line ta hocchetomar amar fele asha joto rongin molin smritilukiy obuj thikanayochin mon er ochin kono kon e bondi ajo ami vule shei pother shimana coz whenev listen thisi go back st relationship histori everyth appear eye like sweet song much,2,0
love you minar it s,love minar,2,0
vey nc song,vey nc song,2,0
nice minar,nice minar,2,0
thnx for awsome song,thnx awsom song,2,0
gaanta josss,gaanta josss,2,0
i love minarrrrrrrrrrrrrrrrrrrrrrrrrrr,love minarrrrrrrrrrrrrrrrrrrrrrrrrrr,2,0
sotti oi nice,sotti oi nice,2,0
congratz 20 million,congratz million,2,0
bivinno ami,bivinno ami,1,0
bivinno ami,bivinno ami,1,0
bivinno ami,bivinno ami,1,0
sakib lm10 ধন্যবাদ,sakib lm ধন্যবাদ,2,0
md shoriful islam ধন্যবাদ,md shori islam ধন্যবাদ,1,0
wow 20 million,wow million,2,0
wow great already crossed 20 first time i seen the song that was only 1k proud a die hard fan of minar,wow great alreadi cross first time seen song k proud die hard fan minar,2,0
wow jose,wow jose,1,0
20m congratulations,m congratul,2,0
minar vai you are boss,minar vai boss,2,0
lovely,love,2,0
পুরাই ফিদা হএ গেলাম,পুরা ফিদা হএ গেল,2,0
congrachulatin ashfaq rana vai and all jhoom team,congrachulatin ashfaq rana vai jhoom team,2,0
20 million,million,1,0
tumi amy dekechile ek meghe dhaka,tumi ami dekechil ek megh dhaka,1,0
amar view soho 2 million holo 3,amar view soho million holo,2,0
অভিনন্দন ২০ মিলিওন highest bangla viewed song,অভিনন্দন মিলিওন highest bangla view song,2,0
nyc song,nyc song,2,0
from a bangladeshi,bangladeshi,1,0
joom তারে নারে না রে,joom তারে নারে না রে,1,0
almost 20,almost,1,0
osm hoice bd,osm hoic bd,2,0
im really proud to birth in bangladesh,im realli proud birth bangladesh,2,0
i love him minar,love minar,2,0
idiot e hobe j ai video dislike koreche,idiot e hobe j ai video dislik korech,0,0
19 millions,million,1,0
thanks minar gaanchill for this creativity,thank minar gaanchil creativ,2,0
0nek gan omor hoye thake ai gantow omor hoye thakbe,nek gan omor hoy thake ai gantow omor hoy thakb,2,0
my life is best song,life best song,2,0
২০ মিলিয়ন কবে হবে,মিলিয়ন,1,0
best dong ever i had hear,best dong ever hear,2,0
আমি uae থেকে অনেক ভালো লাগলো গান টি অন্যরকম এক অনুভূতি,uae ভালো লাগলো গান অন্যরকম অনুভূতি,2,0
1000 bar suchi,bar suchi,2,0
lovely songs,love song,2,0
awesome this,awesom,2,0
একবছর পেরিয়ে গেলো প্রতিদিনই শুনি তবুও ভালো লাগে মিনার সত‌্যিই ভালো লিখতে পারে,একবছর পেরা গেলো প্রতিদিন শুনি তবু ভালো লাগে মিন সত‌্যি ভালো লিখ,2,0
advance congrats for 2m,advanc congrat m,2,0
just awesome,awesom,2,0
just awesome,awesom,2,0
এই গানটি মিনারের অন্যতম একটি গান বক্তদের মাজে এই গানটি অনেক পছন্দনিয় ৷ যা সবার মাজে সেই গানটি পছন্দ,গান মিনার অন্যতম গান বক্ত মাজে গান পছন্দনিয় ৷ মাজে গান পছন্দ,2,0
splendid,splendid,2,0
best song ever,best song ever,2,0
wowwww best song,wowwww best song,2,0
accha minar tmr shob song etoooo josss hoy keno,accha minar tmr shob song etoooo josss hoy keno,2,0
nice your,nice,2,0
just awesome minar,awesom minar,2,0
19m completed it is the best view song ever of bangladesh in youtube love love love,m complet best view song ever bangladesh youtub love love love,2,0
by amar chanel ta subscriber koren,amar chanel ta subscrib koren,1,0
amon gan ar dorkar so very good for song,amon gan ar dorkar good song,2,0
jhoom deyale deyale abar ta jani na karone okarone ki tomar naam chokh khoj pagol bhul shohore ki kori valobashi okarone chader golpo hariye kothay keu ami dekhechi tomake aha re ami tumi ar amra dure hariye tumi kothay acho shada ekakitte,jhoom deyal deyal abar ta jani na karon okaron ki tomar naam chokh khoj pagol bhul shohor ki kori valobashi okaron chader golpo hariy kothay keu ami dekhechi tomak aha ami tumi ar amra dure hariy tumi kothay acho shada ekakitt,1,0
waiting for 20 million views,wait million view,1,0
intro music was fabulous voice no words to describe artist acted very well naturally everything perfect nowadays this kind of singers music hard to find n very rare too lots of respect and support nepal,intro music fabul voic word describ artist act well natur everyth perfect nowaday kind singer music hard find n rare lot respect support nepal,2,0
intro music was fabulous voice no words to describe artist acted very well naturally everything perfect nowadays this kind of singers music hard to find n very rare too lots of respect and support nepal,intro music fabul voic word describ artist act well natur everyth perfect nowaday kind singer music hard find n rare lot respect support nepal,2,0
i loved nepal and respect,love nepal respect,2,0
just wassam,wassam,2,0
this song is my along patner,song along patner,2,0
what a beautiful song from the mv i kind of notice this is a sad song however i am from taiwan which spoken mandarin or english i cannot fully understand this song whatever this song is so beautiful thanks for sudipta introduce me this song,beauti song mv kind notic sad song howev taiwan spoken mandarin english cannot fulli understand song whatev song beauti thank sudipta introduc song,2,0
আসলে সত্যি minar the,আসলে সত্যি minar,2,0
super bro,super bro,2,0
ভাই মিনারের গান গুলো শুনলে কেন জানি জীবনে ফেলে আশা দিন গুলোর কথা মনে পরে যায়তখন আনেক মিচ করি দিন গুলোকে,ভাই মিনার গান গুলো শুনলে জানি জীবনে ফাল আশা গুলোর কথা যায়তখন আনেক মিচ গুলো,2,0
minar bro youre my hero,minar bro your hero,2,0
minar bro youre my hero,minar bro your hero,2,0
minar bro youre my hero,minar bro your hero,2,0
suprb,suprb,2,0
miner u beauty who like miner song,miner u beauti like miner song,2,0
i cant believe this kind of song is created in bangladesh,cant believ kind song creat bangladesh,2,0
so nice song,nice song,2,0
so nice song,nice song,2,0
amra bangali,amra bangali,1,0
emtiaz hossain hmm,emtiaz hossain hmm,1,0
wow nice jotoi minar ar gan suni totoi ami pagol hoye jaii lv u minar vai,wow nice jotoi minar ar gan suni totoi ami pagol hoy jaii lv u minar vai,2,0
